,ID_Pedido,Data,Loja,Produto,Preco_Unitario,Qtd,Cliente,Faturamento,Forma_De_Venda,Região
0,39483,2023-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_1274,120.0,Presencial,Sudeste
1,48375,2023-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_1544,120.0,Presencial,Sudeste
2,90270,2023-01-01,São Paulo,Mouse Gamer,120.0,1,Cliente_6418,120.0,Presencial,Sudeste
3,53171,2023-01-01,São Paulo,Teclado Mecânico,250.0,1,Cliente_19747,250.0,Presencial,Sudeste
4,59136,2023-01-01,São Paulo,Teclado Mecânico,250.0,1,Cliente_14239,250.0,Presencial,Sudeste
5,41071,2023-01-01,São Paulo,Teclado Mecânico,250.0,2,Cliente_11176,500.0,Presencial,Sudeste
6,251,2023-01-01,São Paulo,Teclado Mecânico,250.0,3,Cliente_22822,750.0,Presencial,Sudeste
7,19307,2023-01-01,São Paulo,Notebook HP,3200.0,1,Cliente_15962,3200.0,Presencial,Sudeste
8,62583,2023-01-01,São Paulo,Notebook HP,3200.0,1,Cliente_16151,3200.0,Presencial,Sudeste
9,13090,2023-01-01,São Paulo,Notebook Dell,3500.0,1,Cliente_9087,3500.0,Presencial,Sudeste
10,53437,2023-01-01,São Paulo,Notebook Dell,3500.0,1,Cliente_1245,3500.0,Presencial,Sudeste
11,65754,2023-01-01,São Paulo,iPhone 14,5500.0,1,Cliente_10437,5500.0,Presencial,Sudeste
12,47465,2023-01-01,São Paulo,iPhone 14,5500.0,3,Cliente_7589,16500.0,Presencial,Sudeste
13,29418,2023-01-01,São Paulo,iPhone 14,5500.0,5,Cliente_1329,27500.0,Presencial,Sudeste
14,89400,2023-01-02,São Paulo,Cabo HDMI,40.0,1,Cliente_23051,40.0,Presencial,Sudeste
15,15061,2023-01-02,São Paulo,Mouse Gamer,120.0,1,Cliente_8305,120.0,Presencial,Sudeste
16,51029,2023-01-02,São Paulo,Mouse Gamer,120.0,1,Cliente_5009,120.0,Presencial,Sudeste
17,81208,2023-01-02,São Paulo,Mouse Gamer,120.0,1,Cliente_16992,120.0,Presencial,Sudeste
18,9394,2023-01-02,São Paulo,Cabo HDMI,40.0,5,Cliente_2084,200.0,Presencial,Sudeste
19,34533,2023-01-02,São Paulo,Mouse Gamer,120.0,2,Cliente_27718,240.0,Presencial,Sudeste
20,43320,2023-01-02,São Paulo,Mouse Gamer,120.0,2,Cliente_19425,240.0,Presencial,Sudeste
21,73891,2023-01-02,São Paulo,Mouse Gamer,120.0,2,Cliente_29083,240.0,Presencial,Sudeste
22,71124,2023-01-02,São Paulo,Teclado Mecânico,250.0,1,Cliente_12106,250.0,Presencial,Sudeste
23,85148,2023-01-02,São Paulo,Teclado Mecânico,250.0,1,Cliente_7124,250.0,Presencial,Sudeste
24,92990,2023-01-02,São Paulo,Teclado Mecânico,250.0,1,Cliente_10005,250.0,Presencial,Sudeste
25,12990,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_2598,1200.0,Presencial,Sudeste
26,55766,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_9295,1200.0,Presencial,Sudeste
27,83803,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_29857,1200.0,Presencial,Sudeste
28,93834,2023-01-02,São Paulo,"Monitor 27""",1200.0,1,Cliente_9954,1200.0,Presencial,Sudeste
29,32644,2023-01-02,São Paulo,Smartphone Samsung,2200.0,1,Cliente_1904,2200.0,Presencial,Sudeste
30,23258,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_7254,5500.0,Presencial,Sudeste
31,73840,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_4694,5500.0,Presencial,Sudeste
32,76565,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_16854,5500.0,Presencial,Sudeste
33,89139,2023-01-02,São Paulo,iPhone 14,5500.0,1,Cliente_11210,5500.0,Presencial,Sudeste
34,27096,2023-01-02,São Paulo,Notebook Dell,3500.0,3,Cliente_29144,10500.0,Presencial,Sudeste
35,35914,2023-01-02,São Paulo,iPhone 14,5500.0,2,Cliente_7156,11000.0,Presencial,Sudeste
36,30197,2023-01-03,São Paulo,Cabo HDMI,40.0,1,Cliente_5088,40.0,Presencial,Sudeste
37,72985,2023-01-03,São Paulo,Teclado Mecânico,250.0,1,Cliente_19986,250.0,Presencial,Sudeste
38,97755,2023-01-03,São Paulo,Teclado Mecânico,250.0,1,Cliente_27296,250.0,Presencial,Sudeste
39,40147,2023-01-03,São Paulo,Smartphone Samsung,2200.0,1,Cliente_21822,2200.0,Presencial,Sudeste
40,44630,2023-01-03,São Paulo,Smartphone Samsung,2200.0,1,Cliente_26405,2200.0,Presencial,Sudeste
41,44710,2023-01-03,São Paulo,Notebook HP,3200.0,1,Cliente_13755,3200.0,Presencial,Sudeste
42,68946,2023-01-03,São Paulo,Notebook HP,3200.0,1,Cliente_27102,3200.0,Presencial,Sudeste
43,11209,2023-01-03,São Paulo,Notebook Dell,3500.0,1,Cliente_17995,3500.0,Presencial,Sudeste
44,30052,2023-01-03,São Paulo,Notebook Dell,3500.0,1,Cliente_16022,3500.0,Presencial,Sudeste
45,47411,2023-01-03,São Paulo,Notebook Dell,3500.0,1,Cliente_5715,3500.0,Presencial,Sudeste
46,80584,2023-01-03,São Paulo,Smartphone Samsung,2200.0,2,Cliente_10751,4400.0,Presencial,Sudeste
47,95160,2023-01-03,São Paulo,Smartphone Samsung,2200.0,2,Cliente_18831,4400.0,Presencial,Sudeste
48,1399,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_22487,5500.0,Presencial,Sudeste
49,21446,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_17778,5500.0,Presencial,Sudeste
50,62560,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_7229,5500.0,Presencial,Sudeste
51,98220,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_4487,5500.0,Presencial,Sudeste
52,98577,2023-01-03,São Paulo,iPhone 14,5500.0,1,Cliente_6055,5500.0,Presencial,Sudeste
53,26057,2023-01-03,São Paulo,Notebook HP,3200.0,2,Cliente_6946,6400.0,Presencial,Sudeste
54,36755,2023-01-03,São Paulo,Notebook HP,3200.0,2,Cliente_3274,6400.0,Presencial,Sudeste
55,25534,2023-01-03,São Paulo,iPhone 14,5500.0,2,Cliente_22203,11000.0,Presencial,Sudeste
56,47139,2023-01-03,São Paulo,iPhone 14,5500.0,2,Cliente_27855,11000.0,Presencial,Sudeste
57,66235,2023-01-03,São Paulo,iPhone 14,5500.0,2,Cliente_8555,11000.0,Presencial,Sudeste
58,40493,2023-01-04,São Paulo,Cabo HDMI,40.0,1,Cliente_5859,40.0,Presencial,Sudeste
59,84197,2023-01-04,São Paulo,Mouse Gamer,120.0,1,Cliente_26719,120.0,Presencial,Sudeste
60,30405,2023-01-04,São Paulo,Mouse Gamer,120.0,2,Cliente_4170,240.0,Presencial,Sudeste
61,52204,2023-01-04,São Paulo,Teclado Mecânico,250.0,1,Cliente_16720,250.0,Presencial,Sudeste
62,76830,2023-01-04,São Paulo,Teclado Mecânico,250.0,1,Cliente_20092,250.0,Presencial,Sudeste
63,85601,2023-01-04,São Paulo,Teclado Mecânico,250.0,1,Cliente_3844,250.0,Presencial,Sudeste
64,29799,2023-01-04,São Paulo,Teclado Mecânico,250.0,2,Cliente_11959,500.0,Presencial,Sudeste
65,45765,2023-01-04,São Paulo,Smartphone Samsung,2200.0,1,Cliente_11745,2200.0,Presencial,Sudeste
66,46973,2023-01-04,São Paulo,Smartphone Samsung,2200.0,1,Cliente_21974,2200.0,Presencial,Sudeste
67,33912,2023-01-04,São Paulo,Notebook HP,3200.0,1,Cliente_22244,3200.0,Presencial,Sudeste
68,39504,2023-01-04,São Paulo,Notebook HP,3200.0,1,Cliente_18606,3200.0,Presencial,Sudeste
69,63582,2023-01-04,São Paulo,iPhone 14,5500.0,1,Cliente_14063,5500.0,Presencial,Sudeste
70,83602,2023-01-04,São Paulo,iPhone 14,5500.0,1,Cliente_20348,5500.0,Presencial,Sudeste
71,22643,2023-01-04,São Paulo,Notebook HP,3200.0,3,Cliente_2168,9600.0,Presencial,Sudeste
72,72497,2023-01-04,São Paulo,Notebook Dell,3500.0,3,Cliente_4669,10500.0,Presencial,Sudeste
73,72873,2023-01-04,São Paulo,iPhone 14,5500.0,2,Cliente_26372,11000.0,Presencial,Sudeste
74,10489,2023-01-04,São Paulo,iPhone 14,5500.0,5,Cliente_11823,27500.0,Presencial,Sudeste
75,40510,2023-01-05,São Paulo,Cabo HDMI,40.0,1,Cliente_17948,40.0,Presencial,Sudeste
76,71437,2023-01-05,São Paulo,Mouse Gamer,120.0,1,Cliente_6624,120.0,Presencial,Sudeste
77,79452,2023-01-05,São Paulo,Mouse Gamer,120.0,1,Cliente_16565,120.0,Presencial,Sudeste
